"0","000s:000ms:000us 374 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B5388 CRC:07","SC:80","MMC:211.2MHz","Nrc:3",
"4851","009s:481ms:354us 289 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:001F4360 CRC:25","SC:8","MMC:211.2MHz","Nrc:25",
"4852","009s:481ms:354us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4853","009s:481ms:447us 093 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:18434",
"4854","009s:481ms:448us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4855","009s:481ms:622us 174 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0013FF20 CRC:72","SC:8","MMC:211.2MHz","Nrc:25",
"4856","009s:481ms:623us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4857","009s:481ms:804us 181 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:36040",
"4858","009s:481ms:804us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4859","009s:482ms:019us 214 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00113430 CRC:4E","SC:32","MMC:198.0MHz","Nrc:25",
"4860","009s:482ms:020us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4861","009s:482ms:267us 247 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:49101",
"4862","009s:482ms:268us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4863","009s:482ms:444us 176 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00156F90 CRC:19","SC:8","MMC:198.0MHz","Nrc:25",
"4864","009s:482ms:444us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4865","009s:482ms:593us 148 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:29505",
"4866","009s:482ms:593us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4867","009s:482ms:835us 241 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00156FE8 CRC:1E","SC:8","MMC:198.0MHz","Nrc:25",
"4868","009s:482ms:835us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4869","009s:482ms:928us 092 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:18387",
"4870","009s:482ms:928us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4871","009s:483ms:150us 222 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00113450 CRC:18","SC:624","MMC:198.0MHz","Nrc:25",
"4872","009s:483ms:151us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4873","009s:485ms:000us 001 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"4874","009s:485ms:001us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4875","009s:485ms:195us 194 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:001F43C0 CRC:56","SC:8","MMC:198.0MHz","Nrc:25",
"4876","009s:485ms:195us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4877","009s:485ms:275us 080 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:15873",
"4878","009s:485ms:275us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4879","009s:485ms:481us 206 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00156FF0 CRC:4F","SC:32","MMC:211.2MHz","Nrc:25",
"4880","009s:485ms:482us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4881","009s:485ms:641us 159 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:31616",
"4882","009s:485ms:641us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4883","009s:486ms:143us 501 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117470 CRC:47","SC:32","MMC:198.0MHz","Nrc:25",
"4884","009s:486ms:143us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4885","009s:486ms:338us 194 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:38592",
"4886","009s:486ms:338us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4887","009s:486ms:575us 237 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117490 CRC:50","SC:16","MMC:211.2MHz","Nrc:25",
"4888","009s:486ms:576us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4889","009s:486ms:693us 116 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:23177",
"4890","009s:486ms:693us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4891","009s:487ms:103us 409 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00118818 CRC:58","SC:32","MMC:211.2MHz","Nrc:25",
"4892","009s:487ms:103us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4893","009s:487ms:338us 235 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:46751",
"4894","009s:487ms:339us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4895","009s:487ms:560us 221 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00233FC8 CRC:7D","SC:8","MMC:198.0MHz","Nrc:25",
"4896","009s:487ms:561us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4897","009s:487ms:776us 215 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:42829",
"4898","009s:487ms:777us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4899","009s:487ms:954us 177 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00118838 CRC:6A","SC:56","MMC:198.0MHz","Nrc:25",
"4900","009s:487ms:954us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4901","009s:488ms:221us 266 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:52915",
"4902","009s:488ms:221us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4903","009s:488ms:431us 209 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00157010 CRC:08","SC:640","MMC:198.0MHz","Nrc:25",
"4904","009s:488ms:431us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4905","009s:490ms:319us 001 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"4906","009s:490ms:320us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4907","009s:490ms:524us 204 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00473FC8 CRC:1D","SC:8","MMC:198.0MHz","Nrc:25",
"4908","009s:490ms:525us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4909","009s:490ms:673us 148 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:29491",
"4910","009s:490ms:674us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4911","009s:490ms:874us 199 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0011D258 CRC:26","SC:32","MMC:211.2MHz","Nrc:25",
"4912","009s:490ms:874us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4913","009s:491ms:078us 204 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:40476",
"4914","009s:491ms:078us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4915","009s:491ms:531us 453 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117CF8 CRC:16","SC:32","MMC:198.0MHz","Nrc:25",
"4916","009s:491ms:532us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4917","009s:491ms:787us 255 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:50717",
"4918","009s:491ms:787us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4919","009s:492ms:074us 287 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117D18 CRC:0A","SC:160","MMC:198.0MHz","Nrc:25",
"4920","009s:492ms:075us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4921","009s:492ms:626us 551 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"4922","009s:492ms:626us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4923","009s:493ms:080us 453 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117DB8 CRC:79","SC:32","MMC:211.2MHz","Nrc:25",
"4924","009s:493ms:080us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4925","009s:493ms:283us 203 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:40398",
"4926","009s:493ms:284us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4927","009s:493ms:516us 232 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117DD8 CRC:2F","SC:8","MMC:198.0MHz","Nrc:25",
"4928","009s:493ms:516us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4929","009s:493ms:627us 111 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:22021",
"4930","009s:493ms:628us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4931","009s:493ms:891us 263 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00433FD0 CRC:79","SC:8","MMC:211.2MHz","Nrc:25",
"4932","009s:493ms:892us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4933","009s:494ms:106us 214 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:42563",
"4934","009s:494ms:106us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4935","009s:494ms:281us 174 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00116AE8 CRC:0C","SC:32","MMC:198.0MHz","Nrc:25",
"4936","009s:494ms:281us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4937","009s:494ms:507us 225 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:44708",
"4938","009s:494ms:507us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4939","009s:495ms:431us 923 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00116B90 CRC:00","SC:2048","MMC:198.0MHz","Nrc:25",
"4940","009s:495ms:431us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4941","009s:501ms:216us 005 ms"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"4942","009s:501ms:216us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4943","009s:501ms:487us 271 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117390 CRC:61","SC:8","MMC:211.2MHz","Nrc:25",
"4944","009s:501ms:488us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4945","009s:501ms:581us 093 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:18490",
"4946","009s:501ms:581us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4947","009s:501ms:839us 257 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000402A0 CRC:20","SC:104","MMC:198.0MHz","Nrc:25",
"4948","009s:501ms:839us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4949","009s:502ms:299us 459 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"4950","009s:502ms:299us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4951","009s:502ms:606us 306 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00076F98 CRC:52","SC:8","MMC:198.0MHz","Nrc:25",
"4952","009s:502ms:606us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4953","009s:502ms:771us 164 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:32596",
"4954","009s:502ms:771us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4955","009s:503ms:048us 277 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00077170 CRC:56","SC:40","MMC:211.2MHz","Nrc:25",
"4956","009s:503ms:048us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4957","009s:503ms:315us 266 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:52839",
"4958","009s:503ms:315us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4959","009s:503ms:490us 175 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:001187F8 CRC:26","SC:32","MMC:198.0MHz","Nrc:25",
"4960","009s:503ms:491us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4961","009s:503ms:733us 242 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:48055",
"4962","009s:503ms:733us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4963","009s:503ms:944us 210 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000729D8 CRC:61","SC:32","MMC:211.2MHz","Nrc:25",
"4964","009s:503ms:944us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4965","009s:504ms:176us 231 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:45939",
"4966","009s:504ms:176us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4967","009s:504ms:380us 204 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00127670 CRC:20","SC:32","MMC:198.0MHz","Nrc:25",
"4968","009s:504ms:381us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4969","009s:504ms:613us 232 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:46042",
"4970","009s:504ms:613us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4971","009s:504ms:889us 275 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00127690 CRC:37","SC:8","MMC:198.0MHz","Nrc:25",
"4972","009s:504ms:889us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4973","009s:504ms:986us 096 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:19160",
"4974","009s:504ms:986us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4975","009s:506ms:420us 001 ms"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0011BCB8 CRC:4C","SC:24","MMC:211.2MHz","Nrc:25",
"4976","009s:506ms:421us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4977","009s:506ms:652us 231 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:45949",
"4978","009s:506ms:652us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4979","009s:506ms:858us 205 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:000729F8 CRC:53","SC:8","MMC:211.2MHz","Nrc:25",
"4980","009s:506ms:858us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4981","009s:506ms:953us 095 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:18822",
"4982","009s:506ms:953us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4983","009s:507ms:354us 401 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0012E800 CRC:67","SC:32","MMC:198.0MHz","Nrc:25",
"4984","009s:507ms:355us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4985","009s:507ms:583us 228 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:45352",
"4986","009s:507ms:583us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4987","009s:507ms:836us 252 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0012E820 CRC:55","SC:8","MMC:198.0MHz","Nrc:25",
"4988","009s:507ms:836us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4989","009s:507ms:930us 093 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:18573",
"4990","009s:507ms:930us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4991","009s:508ms:376us 446 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0011E4B8 CRC:40","SC:32","MMC:198.0MHz","Nrc:25",
"4992","009s:508ms:377us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4993","009s:508ms:577us 200 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:39799",
"4994","009s:508ms:578us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4995","009s:508ms:871us 293 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0011E4D8 CRC:16","SC:40","MMC:198.0MHz","Nrc:25",
"4996","009s:508ms:871us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"4997","009s:509ms:113us 241 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:47900",
"4998","009s:509ms:113us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"4999","009s:509ms:576us 463 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00117AF0 CRC:64","SC:32","MMC:198.0MHz","Nrc:25",
"5000","009s:509ms:576us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5001","009s:509ms:826us 249 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:49500",
"5002","009s:509ms:826us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5003","009s:510ms:285us 458 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00127C20 CRC:13","SC:32","MMC:211.2MHz","Nrc:25",
"5004","009s:510ms:285us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5005","009s:510ms:497us 211 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:42012",
"5006","009s:510ms:497us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5007","009s:510ms:755us 258 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00127C40 CRC:45","SC:32","MMC:198.0MHz","Nrc:25",
"5008","009s:510ms:756us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5009","009s:510ms:933us 177 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:35153",
"5010","009s:510ms:933us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5011","009s:511ms:382us 448 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0012E828 CRC:1D","SC:32","MMC:211.2MHz","Nrc:25",
"5012","009s:511ms:382us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5013","009s:511ms:583us 201 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:39902",
"5014","009s:511ms:584us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5015","009s:511ms:898us 314 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0012E848 CRC:4B","SC:200","MMC:198.0MHz","Nrc:25",
"5016","009s:511ms:899us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5017","009s:512ms:583us 684 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"5018","009s:512ms:583us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5019","009s:513ms:063us 479 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0012C390 CRC:08","SC:32","MMC:198.0MHz","Nrc:25",
"5020","009s:513ms:063us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5021","009s:513ms:275us 212 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:42091",
"5022","009s:513ms:275us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5023","009s:514ms:131us 855 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0011D0A0 CRC:76","SC:32","MMC:211.2MHz","Nrc:25",
"5024","009s:514ms:131us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5025","009s:514ms:291us 159 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:31664",
"5026","009s:514ms:291us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5027","009s:514ms:556us 265 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0011D0C0 CRC:20","SC:112","MMC:211.2MHz","Nrc:25",
"5028","009s:514ms:557us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5029","009s:514ms:973us 415 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:Over 64K Cycles",
"5030","009s:514ms:973us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5031","009s:515ms:153us 180 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00233FD8 CRC:64","SC:8","MMC:198.0MHz","Nrc:25",
"5032","009s:515ms:153us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5033","009s:515ms:231us 078 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:15505",
"5034","009s:515ms:232us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5035","009s:515ms:949us 717 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00127698 CRC:7F","SC:32","MMC:198.0MHz","Nrc:25",
"5036","009s:515ms:949us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5037","009s:516ms:132us 182 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:36225",
"5038","009s:516ms:132us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5039","009s:516ms:314us 181 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00433FD8 CRC:31","SC:8","MMC:211.2MHz","Nrc:25",
"5040","009s:516ms:314us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5041","009s:516ms:411us 096 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:19170",
"5042","009s:516ms:411us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5043","009s:516ms:722us 310 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:001276B8 CRC:4D","SC:232","MMC:211.2MHz","Nrc:25",
"5044","009s:516ms:722us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5045","009s:517ms:489us 767 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:Over 64K Cycles",
"5046","009s:517ms:489us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5047","009s:517ms:672us 182 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:00404008 CRC:33","SC:8","MMC:198.0MHz","Nrc:25",
"5048","009s:517ms:672us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5049","009s:517ms:852us 179 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:198.0MHz","Nrc:35629",
"5050","009s:517ms:852us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5051","009s:518ms:345us 492 us"," CMD18(READ_MULTIPLE_BLOCK)","ARG:0011D018 CRC:54","SC:32","MMC:211.2MHz","Nrc:25",
"5052","009s:518ms:345us 000 us","  R1 ","RSP:1200000900D3 [47:0]","-","MMC:-","Ncr:10",
"5053","009s:518ms:528us 182 us"," CMD12(STOP_TRANSMISSION)","ARG:00000000 CRC:30","-","MMC:211.2MHz","Nrc:36223",
"5054","009s:518ms:528us 000 us","  R1b","RSP:0C00000B007F [47:0]","-","MMC:-","Ncr:6",
"5055","009s:518ms:733us 204 us"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:00401000 CRC:5E","SC:8","MMC:198.0MHz","Nrc:25",
"5056","009s:518ms:733us 000 us","  R1 ","RSP:190000090031 [47:0]","-","MMC:-","Ncr:9",
