"0","000s:000ms:000us 374 ms"," CMD25(WRITE_MULTIPLE_BLOCK)","ARG:001B5388 CRC:07","SC:80","MMC:211.2MHz","Nrc:3",
"49","001s:855ms:058us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"50","001s:855ms:226us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"51","001s:855ms:430us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"52","001s:855ms:598us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"53","001s:855ms:802us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"54","001s:855ms:971us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"55","001s:856ms:174us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"56","001s:856ms:343us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"57","001s:856ms:546us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"58","001s:856ms:715us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"59","001s:856ms:918us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"60","001s:857ms:087us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"61","001s:857ms:291us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"62","001s:857ms:459us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"63","001s:857ms:663us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"64","001s:857ms:831us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"65","001s:858ms:035us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"66","001s:858ms:204us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"67","001s:858ms:407us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"68","001s:858ms:576us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"69","001s:858ms:779us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"70","001s:858ms:948us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"71","001s:859ms:152us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"72","001s:859ms:320us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"73","001s:859ms:524us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"74","001s:859ms:692us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"75","001s:859ms:896us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"76","001s:860ms:065us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"77","001s:860ms:268us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
"78","001s:860ms:437us 168 us","  R3 ","RSP:3F00FF8080FF [47:0]","-","MMC:-","Ncr:5",
"79","001s:860ms:640us 203 us"," CMD01(SEND_OP_COND)","ARG:40000080 CRC:74","-","MMC:0.3MHz","Nrc:16",
